Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Assessing FAIR Data Principles Against the 5-Star Open Data Principles","FAIR data principles extend the Linked Open Data principles by requiring a stated license for access and focusing on reusability, while LOD emphasizes openness and interoperability.","Ali Hasnain, Dietrich Rebholz-Schuhmann",2018,43,"Access to biomedical data is increasingly important to enable data driven science in the research community. The Linked Open Data (LOD) principles (by Tim Berner-Lee) have been suggested to judge the quality of data by its accessibility (open data access), by its format and structures, and by its interoperability with other data sources. The objective is to use interoperable data sources across the Web with ease.The FAIR (findable, accessible, interoperable, reusable) data principles have been introduced for similar reasons with a stronger emphasis on achieving reusability. In this manuscript we assess the FAIR principles against the LOD principles to determine, to which degree, the FAIR principles reuse LOD principles, and to which degree they extend the LOD principles. This assessment helps to clarify the relationship between both schemes and gives a better understanding, what extension FAIR represents in comparison to LOD.We conclude, that LOD gives a clear mandate to the openness of data, whereas FAIR asks for a stated license for access and thus includes the concept of reusability under consideration of the license agreement. Furthermore, FAIR makes strong reference to the contextual information required to improve reuse of the data, e.g., provenance information. According to the LOD principles, such meta-data would be considered interoperable data as well, however, the requirement of extending of data with meta-data does indicate that FAIR is an extension of the LOD (in contrast to the inverse).","","","","10.1007/978-3-319-98192-5_60","https://consensus.app/papers/assessing-fair-data-principles-against-the-5star-open-data-rebholz-schuhmann-hasnain/1c3fba679a04562c89380e6883781d2e/"
"Ontological Representation of FAIR Principles: A Blueprint for FAIRer Data Sources","The OntoUML FAIR Principles Schema provides an ontological representation of FAIR principles for data practitioners, providing a blueprint for designing FAIR classification strategies for datasets.","Anna Bernasconi, Alberto García Simón, G. Guizzardi, Luiz Olavo Bonino da Silva Santos, V. Storey",2023,7,"Guidelines to improve the Findability, Accessibility, Interoperability, and Reuse of datasets, known as FAIR principles, were introduced in 2016 to enable machines to perform automatic actions on a variety of digital objects, including datasets. Since then, the principles have been widely adopted by data creators and users worldwide with the ‘FAIR’ acronym becoming a common part of the vocabulary of data scientists. However, there is still some controversy on how datasets should be interpreted since not all datasets that are claimed to be FAIR, necessarily follow the principles. In this research, we propose the OntoUML FAIR Principles Schema, as an ontological representation of FAIR principles for data practitioners. The work is based on OntoUML, an ontologically well-founded language for Ontology-driven Conceptual Modeling. OntoUML is a proxy for ontological analysis that has proven effective in supporting the explanation of complex domains. Our schema aims to disentangle the intricacies of the FAIR principles’ definition, by resolving aspects that are ambiguous, under-specified, recursively-specified, or implicit. The schema can be considered as a blueprint, or a template to follow when the FAIR classification strategy of a dataset must be designed. To demonstrate the usefulness of the schema, we present a practical example based on genomic data and discuss how the results provided by the OntoUML FAIR Principles Schema contribute to existing data guidelines.","","","","10.1007/978-3-031-34560-9_16","https://consensus.app/papers/ontological-representation-of-fair-principles-a-guizzardi-santos/e3132e47f73653e1a0ff42956c10fa7b/"
"FAIR Versus Open Data: A Comparison of Objectives and Principles","FAIR data focuses on research data complexity, while open data primarily aims to provide public access to non-confidential data, with different approaches to achieve these goals.","Putu Hadi Purnama Jati, Yi Lin, Sara Nodehi, D. B. Cahyono, M. Reisen",2022,16,"Abstract This article assesses the difference between the concepts of ‘open data’ and ‘FAIR data’ in data management. FAIR data is understood as data that complies with the FAIR Guidelines—data that is Findable, Accessible, Interoperable and Reusable—while open data was born out of awareness of the need to democratise data by improving its accessibility, based on the idea that data should not have limitations that prevent people from using it. This study compared FAIR data with open data by analysing relevant documents using a coding analysis with conceptual labels based on Kingdon's theory of agenda setting. The study found that in relation to FAIR data the problem stream focuses on the complexity of data collected for research, while open data primarily emphasises giving the public access to non-confidential data. In the policy stream, the two concepts share common standpoints in terms of making data available and reusable, although different approaches are adopted in practice to accomplish these goals. In the politics stream, stakeholders with different objectives support FAIR data and from those who support open data.","","Data Intelligence","1","10.1162/dint_a_00176","https://consensus.app/papers/fair-versus-open-data-a-comparison-of-objectives-and-cahyono-reisen/87239e3730085f3394bb4d021193cd80/"
"Implementing the FAIR Data Principles in precision oncology: review of supporting initiatives","Implementing FAIR Data Principles in precision oncology requires using well-documented models for clinical data, diagnosis classification, bioinformatics pipeline, and variant naming.","C. Vesteghem, R. Brøndum, Mads Sønderkær, Mia Sommer, Alexander Schmitz, J. Bødker, K. Dybkær, T. El‐Galaly, M. Bøgsted",2019,50,"Abstract Compelling research has recently shown that cancer is so heterogeneous that single research centres cannot produce enough data to fit prognostic and predictive models of sufficient accuracy. Data sharing in precision oncology is therefore of utmost importance. The Findable, Accessible, Interoperable and Reusable (FAIR) Data Principles have been developed to define good practices in data sharing. Motivated by the ambition of applying the FAIR Data Principles to our own clinical precision oncology implementations and research, we have performed a systematic literature review of potentially relevant initiatives. For clinical data, we suggest using the Genomic Data Commons model as a reference as it provides a field-tested and well-documented solution. Regarding classification of diagnosis, morphology and topography and drugs, we chose to follow the World Health Organization standards, i.e. ICD10, ICD-O-3 and Anatomical Therapeutic Chemical classifications, respectively. For the bioinformatics pipeline, the Genome Analysis ToolKit Best Practices using Docker containers offer a coherent solution and have therefore been selected. Regarding the naming of variants, we follow the Human Genome Variation Society's standard. For the IT infrastructure, we have built a centralized solution to participate in data sharing through federated solutions such as the Beacon Networks.","systematic review","Briefings in Bioinformatics","1","10.1093/bib/bbz044","https://consensus.app/papers/implementing-the-fair-data-principles-in-precision-dybk%C3%A6r-s%C3%B8nderk%C3%A6r/51b05790020c51ada59a29801d39cf00/"
"Cultivating FAIR principles for agri-food data","FAIR principles in agriculture and food require automated tools, community-based approaches, and scientific insight to effectively share and reuse data.","J. Top, S. Janssen, H. Boogaard, R. Knapen, Görkem Şimşek-Şenel",2022,28,"","","Comput. Electron. Agric.","1","10.1016/j.compag.2022.106909","https://consensus.app/papers/cultivating-fair-principles-for-agrifood-data-knapen-janssen/2bcf87f52b4356d3ab816d240c2be79c/"
"FAIR Data Point: A FAIR-Oriented Approach for Metadata Publication","The FAIR Data Point (FDP) is a software architecture that aims to publish semantically-rich and machine-actionable metadata according to FAIR principles, enabling users to register, index, and search for metadata content.","Luiz Olavo Bonino da Silva Santos, K. Burger, R. Kaliyaperumal, Mark D. Wilkinson",2022,33,"ABSTRACT Metadata, data about other digital objects, play an important role in FAIR with a direct relation to all FAIR principles. In this paper we present and discuss the FAIR Data Point (FDP), a software architecture aiming to define a common approach to publish semantically-rich and machine-actionable metadata according to the FAIR principles. We present the core components and features of the FDP, its approach to metadata provision, the criteria to evaluate whether an application adheres to the FDP specifications and the service to register, index and allow users to search for metadata content of available FDPs.","","Data Intelligence","1","10.1162/dint_a_00160","https://consensus.app/papers/fair-data-point-a-fairoriented-approach-for-metadata-wilkinson-burger/1f6efd19764550be97cf32d7b855a05f/"
"Dental Research Data Availability and Quality According to the FAIR Principles","Dental researchers rarely share data, and when they do, the quality is suboptimal, hindering reproducibility and hindering the use of machine learning algorithms in dental research.","S. Uribe, A. Sofi-Mahmudi, E. Raittio, I. Maldupa, B. Vilne",2022,15,"According to the FAIR principles, data produced by scientific research should be findable, accessible, interoperable, and reusable—for instance, to be used in machine learning algorithms. However, to date, there is no estimate of the quantity or quality of dental research data evaluated via the FAIR principles. We aimed to determine the availability of open data in dental research and to assess compliance with the FAIR principles (or FAIRness) of shared dental research data. We downloaded all available articles published in PubMed-indexed dental journals from 2016 to 2021 as open access from Europe PubMed Central. In addition, we took a random sample of 500 dental articles that were not open access through Europe PubMed Central. We assessed data sharing in the articles and compliance of shared data to the FAIR principles programmatically. Results showed that of 7,509 investigated articles, 112 (1.5%) shared data. The average (SD) level of compliance with the FAIR metrics was 32.6% (31.9%). The average for each metric was as follows: findability, 3.4 (2.7) of 7; accessibility, 1.0 (1.0) of 3; interoperability, 1.1 (1.2) of 4; and reusability, 2.4 (2.6) of 10. No considerable changes in data sharing or quality of shared data occurred over the years. Our findings indicated that dental researchers rarely shared data, and when they did share, the FAIR quality was suboptimal. Machine learning algorithms could understand 1% of available dental research data. These undermine the reproducibility of dental research and hinder gaining the knowledge that can be gleaned from machine learning algorithms and applications.","non-rct observational study","Journal of Dental Research","1","10.1177/00220345221101321","https://consensus.app/papers/dental-research-data-availability-and-quality-according-maldupa-vilne/683014c47d975812aa0620bdfd47c17f/"
"Progress toward a comprehensive teaching approach to the FAIR data principles","Effective teaching of FAIR data principles requires linking resources to educational frameworks, providing consistent descriptions, and developing an instructor community of practice.","Hugh P. Shanahan, N. Hoebelheinrich, A. Whyte",2021,4,"","","Patterns","1","10.1016/j.patter.2021.100324","https://consensus.app/papers/progress-toward-a-comprehensive-teaching-approach-to-the-shanahan-hoebelheinrich/35c148fd0ac059b7a6511b6a0270010e/"
"Implementation of the FAIR Data Principles for Exploratory Biomarker Data from Clinical Trials","FAIR data principles can improve the findability, accessibility, interoperability, and reuse of clinical exploratory biomarker data from clinical trials.","A. Arefolov, Laura Adam, Shoshana D. Brown, Yelena Budovskaya, Cong Chen, Diya Das, Chen Farhy, R. Ferguson, Hongmei Huang, Kimberly Kanigel, Christina Lu, Oksana Polesskaya, Tracy Staton, R. Tajhya, Maryann Whitley, Jee-Yeon Wong, Xiangpei Zeng, Mark McCreary",2021,7,"The FAIR data guiding principles have been recently developed and widely adopted to improve the Findability, Accessibility, Interoperability, and Reuse of digital assets in the face of an exponential increase of data volume and complexity. The FAIR data principles have been formulated on a general level and the technological implementation of these principles remains up to the industries and organizations working on maximizing the value of their data. Here, we describe the data management and curation methodologies and best practices developed for FAIRification of clinical exploratory biomarker data collected from over 250 clinical studies. We discuss the data curation effort involved, the resulting output, and the business and scientific impact of our work. Finally, we propose prospective planning for FAIR data to optimize data management efforts and maximize data value.","","Data Intelligence","1","10.1162/dint_a_00106","https://consensus.app/papers/implementation-of-the-fair-data-principles-for-mccreary-brown/6010dc13af475c4595ec15b7417d9bf3/"
"A Generic Workflow for the Data FAIRification Process","The FAIRification process involves a seven-step process to enhance data findability, accessibility, interoperability, and reusability in various types of data.","Annika Jacobsen, R. Kaliyaperumal, Luiz Olavo Bonino da Silva Santos, B. Mons, E. Schultes, M. Roos, Mark Thompson",2020,93,"The FAIR guiding principles aim to enhance the Findability, Accessibility, Interoperability and Reusability of digital resources such as data, for both humans and machines. The process of making data FAIR (“FAIRification”) can be described in multiple steps. In this paper, we describe a generic step-by-step FAIRification workflow to be performed in a multidisciplinary team guided by FAIR data stewards. The FAIRification workflow should be applicable to any type of data and has been developed and used for “Bring Your Own Data” (BYOD) workshops, as well as for the FAIRification of e.g., rare diseases resources. The steps are: 1) identify the FAIRification objective, 2) analyze data, 3) analyze metadata, 4) define semantic model for data (4a) and metadata (4b), 5) make data (5a) and metadata (5b) linkable, 6) host FAIR data, and 7) assess FAIR data. For each step we describe how the data are processed, what expertise is required, which procedures and tools can be used, and which FAIR principles they relate to.","","Data Intelligence","1","10.1162/dint_a_00028","https://consensus.app/papers/a-generic-workflow-for-the-data-fairification-process-mons-schultes/66f360e5ce4053b2bb0f2729d0ae5505/"
"Recommendations for Services in a FAIR Data Ecosystem","This paper proposes recommendations for data and infrastructure service providers to support a FAIR data ecosystem, aiming to drive down inefficiencies and enable new data-driven discovery.","H. Koers, Daniel Bangert, Emilie Hermans, R. V. Horik, M. D. Jong, M. Mokrane",2020,29,"","","Patterns","1","10.1016/j.patter.2020.100058","https://consensus.app/papers/recommendations-for-services-in-a-fair-data-ecosystem-horik-koers/18256e18c38855e9a103187b69963fc6/"
"From Conceptualization to Implementation: FAIR Assessment of Research Data Objects","The FAIRsFAIR project developed metrics and tools for assessing FAIRness in research data objects in trustworthy data repositories, with initial results showing promising results for researchers and data repositories.","A. Devaraju, M. Mokrane, L. Cepinskas, R. Huber, Patricia Herterich, Jerry de Vries, Vesa Akerman, Hervé L’Hours, Joy Davidson, M. Diepenbroek",2021,33,"Funders and policy makers have strongly recommended the uptake of the FAIR principles in scientific data management. Several initiatives are working on the implementation of the principles and standardized applications to systematically evaluate data FAIRness. This paper presents practical solutions, namely metrics and tools, developed by the FAIRsFAIR project to pilot the FAIR assessment of research data objects in trustworthy data repositories. The metrics are mainly built on the indicators developed by the RDA FAIR Data Maturity Model Working Group. The tools’ design and evaluation followed an iterative process. We present two applications of the metrics: an awareness-raising self-assessment tool and an automated FAIR data assessment tool. Initial results of testing the tools with researchers and data repositories are discussed","","Data Sci. J.","1","10.5334/dsj-2021-004","https://consensus.app/papers/from-conceptualization-to-implementation-fair-huber-mokrane/d89844e1441d5bd9af454ab7c952da7f/"
"The FAIR Data Maturity Model: An Approach to Harmonise FAIR Assessments","The FAIR Data Maturity Model provides a standardized set of indicators and guidelines to make FAIR assessments more comparable and useful for various stakeholders.","Christophe Bahim, Carlos Casorrán-Amilburu, M. Dekkers, Edit Herczog, Nicolas Loozen, Konstantinos Repanas, Keith Russell, S. Stall",2020,58,"In the past years, many methodologies and tools have been developed to assess the FAIRness of research data. These different methodologies and tools have been based on various interpretations of the FAIR principles, which makes comparison of the results of the assessments difficult. The work in the RDA FAIR Data Maturity Model Working Group reported here has delivered a set of indicators with priorities and guidelines that provide a ‘lingua franca’ that can be used to make the results of the assessment using those methodologies and tools comparable. The model can act as a tool that can be used by various stakeholders, including researchers, data stewards, policy makers and funding agencies, to gain insight into the current FAIRness of data as well as into the aspects that can be improved to increase the potential for reuse of research data. Through increased efficiency and effectiveness, it helps research activities to solve societal challenges and to support evidence-based decisions. The Maturity Model is publicly available and the Working Group is encouraging application of the model in practice. Experience with the model will be taken into account in the further development of the model.","","Data Sci. J.","1","10.5334/dsj-2020-041","https://consensus.app/papers/the-fair-data-maturity-model-an-approach-to-harmonise-fair-dekkers-casorr%C3%A1n-amilburu/659a10ef89ab5f84a08769d1a499f8a3/"
"An automated solution for measuring the progress toward FAIR research data","This paper presents an automated tool for assessing FAIRness of research data, converting principles into measurable metrics and evaluating compliance through trusted repositories.","A. Devaraju, R. Huber",2021,41,"","","Patterns","1","10.1016/j.patter.2021.100370","https://consensus.app/papers/an-automated-solution-for-measuring-the-progress-toward-huber-devaraju/cd5cb2ba9eb9576188fe794b8e38f9cb/"
"Technical and policy underpinnings of FAIR data principles","FAIR data principles require effective data management and publishing, addressing challenges and proactively responding to trends in research data management, curation, sharing, and reuse.","Jian Qin, I. S. Coll, M. Zeng, Brian Dobreski",2019,0,"At the trajectory of exponential data growth and FAIR (Findable, Accessible, Interoperable and Re‐usable) requirements, organizations face the data management and publishing challenges in support of effective data discovery and publishing activities. This panel brings researchers and practitioners who have researched and practiced in managing datasets and providing discovery services to share their experience and expertise in addressing the challenges and proactively responding to trends in research data management, curation, sharing, and reuse.","","Proceedings of the Association for Information Science and Technology","3","10.1002/pra2.93","https://consensus.app/papers/technical-and-policy-underpinnings-of-fair-data-dobreski-coll/1a23539cab1b5a1192d8f589ca439e5f/"
"FAIR data principles and their application to speech and oral archives","FAIR data principles can improve the accessibility and usability of speech and oral archives in the humanities and social sciences, but face challenges and initiatives to address them.","S. Calamai, Francesca Frontini",2018,13,"Abstract This paper discusses current open data science and archive principles and issues and their applicability to speech and oral archives. Firstly, a definition of speech and oral archives is provided: they represent a rather tricky object of study not only in language related studies but also in the social sciences and humanities. Secondly, we introduce the FAIR principles for data science, which are now progressively being adopted in the humanities and in the domain of Language Resources, in connection with research infrastructures such as CLARIN and DARIAH. Finally we discuss some issues that may slow down the applicability adoption of FAIR principles for speech and oral archives, as well as current initiatives that may help in solving them.","","Journal of New Music Research","1","10.1080/09298215.2018.1473449","https://consensus.app/papers/fair-data-principles-and-their-application-to-speech-and-frontini-calamai/fe0316fd56495f90912fb71c1a8f302e/"
"Being Fair about the Design of FAIR Data Standards","FAIR data standards should be designed with fairness in mind, considering representation, infrastructures, and interpretations of ""value"" and ""valuable data.""","L. Bezuidenhout",2020,10,"Since 2014 the FAIR data movement has been rapidly altering the landscape of data sharing and re-use. Support for the FAIR movement has seen the evolution of disciplinary-specific standards to foster data that are “finable, accessible, interoperable and reusable.” While these exciting developments should not be minimised, it is important to interrogate how these standards are set. Key questions to ask include how representation in standard setting communities is addressed; what infrastructures and resources these emergent standards are reliant on; and how standards dictate specific interpretations of “value” and “valuable data.” Asking such questions introduces a needed reflexivity into FAIR discussions, as standard setters interrogate what data practices commit present—and future—researchers to.","","Digital Government: Research and Practice","2","10.1145/3399632","https://consensus.app/papers/being-fair-about-the-design-of-fair-data-standards-bezuidenhout/c4b39d458658527982b96938dd620a67/"
